unit_nr,avg_RMSE,avg_MAE
1,16.480699075255558,10.793620767901233
2,8.796859172904087,5.582178468871596
3,14.01809737480923,10.087156683221476
4,16.216650153835083,11.314782340251572
5,9.70127922217481,6.311451727615062
6,17.414132713140198,11.942789827215192
7,14.949736968751289,10.336630007423583
8,18.28277185748607,13.766376618333334
9,9.676606765940923,6.914056272514619
10,9.302658773959136,6.066547607291667
11,8.470932772566341,5.539587958095239
12,18.162787727651118,13.071947875
13,13.885031343679284,9.659098451127818
14,13.029710749508824,9.196440558
15,12.857234190063815,8.461236014124294
16,24.437441002685954,18.123919656983237
17,11.572981263535963,8.146057927235773
18,11.413097335200778,7.2420446181818185
19,20.010337010227847,14.0761398734375
20,16.937465614285042,11.9393912372549
21,17.019904258333817,11.786878607272728
22,17.31916842553413,11.97538059011628
23,15.201621404109734,10.325568004347826
24,22.367605333110728,16.825368547008544
25,13.939460232383055,9.715155165
26,19.855250611710126,13.499532701183433
27,17.80649168571694,13.3673035515873
28,19.248181555222125,15.49459023037037
29,15.94524765810596,10.946560140601504
30,16.672157043290348,11.30249885426829
31,9.107453348205816,5.720862624019608
32,16.48004930917478,11.684862294409937
33,13.234505401344588,9.56601234117647
34,13.088539369436365,9.18024468060606
35,16.582802832462885,11.755468031125826
36,17.669007843393505,12.6205557078125
37,15.783938456583885,11.600213579285715
38,14.187778774715332,9.39709909512195
39,24.290006103901653,17.690606887755102
40,18.101964230047454,12.731161451898735
41,10.552229431242381,7.674454966129032
42,15.19654338969253,11.193342114457831
43,14.981510460662452,9.9382658259887
44,11.007313031040693,8.125887955555555
45,19.20120613532487,15.100333969531249
46,10.202257898564897,6.738569409734514
47,9.706700596845625,6.6241182260869556
48,9.306073043888906,6.449504563681592
49,16.548444047920587,11.446873254594594
50,17.066950374148103,12.54172255
51,7.582475400660947,5.543758376502732
52,14.090984139273274,9.80488093442623
53,17.02005181952299,12.181606852424242
54,8.43106914727372,5.543358191629957
55,15.55168140500945,11.021727625153373
56,22.438882722391263,16.81390893183674
57,24.51637980360957,17.78066306168224
58,18.198117514694637,14.585808867521369
59,10.364280275440935,6.890273760696518
60,19.13520557131012,13.354217335915495
61,19.277481578221064,13.921612561290324
62,18.138496924314296,13.333995672666667
63,13.806331487407354,9.766307116666667
64,17.545402656885052,12.796961398814227
65,25.05287171894534,20.22757337317073
66,22.859339250221968,15.98415828255814
67,19.531536405171384,14.353966621908128
68,18.073078755129266,12.269986512426035
69,20.302093744725457,14.545766239156627
70,23.675022702133298,17.46642053738318
71,15.837716718133196,10.52701013483146
72,15.69720974155374,11.016703368306011
73,19.497858918615844,13.476266271584702
74,19.496077988574278,14.072737618382353
75,14.668972053996015,10.095929442713569
76,19.559772033455673,13.654494583888889
77,20.020106185893344,14.804384343548387
78,10.308241564796441,6.432620797512437
79,11.916032127533555,8.292596165680472
80,16.57461233555656,11.877462776129033
81,18.37966016878413,13.273946482857145
82,7.085901676766736,4.71970684076087
83,10.633891878885898,6.439558665779468
84,19.329115066432664,14.267728197890296
85,15.707119173602413,10.673183548101266
86,19.94300256143282,14.794027343548388
87,17.896004778712655,13.165057443243246
88,12.966253299798,9.206312016393442
89,11.618136230144081,7.855640800534759
90,23.768463466820776,19.384934410483876
91,14.646341678769721,11.067577890476189
92,18.1264111206375,12.819853543086818
93,17.79045802266796,14.0108589272
94,20.787729222223152,14.008388909649124
95,11.489219529401177,7.396281302371542
96,16.70245540125437,11.880175930065358
97,13.25124993735436,8.777123282558138
98,16.267229780321554,12.570609313492064
99,14.820688398167741,10.768927118645163
100,17.26910605322382,12.580738447058824
